Data,Freguesia,Código Territorial,Total Mandatos,Mandatos Disponíveis,Votos Brancos,Percentagem Votos Brancos,Votos Nulos,Percentagem Votos Nulos,Percentagem Votantes,Votantes Inscritos,Total de Votos,Concelho,Distrito,Região
2019-12-03 11:13:36,Sobrado e Bairros,LOCAL-010611,0.0,0,41,1.67,46,1.88,59.14,4146,2452,Castelo de Paiva,Aveiro,Norte
2019-12-03 11:13:36,Espinho,LOCAL-010702,0.0,0,129,2.12,82,1.35,60.48,10063,6086,Espinho,Aveiro,Norte
2019-12-03 11:13:36,Paramos,LOCAL-010704,0.0,0,28,1.65,25,1.47,54.8,3106,1702,Espinho,Aveiro,Norte
2019-12-03 11:13:36,Silvalde,LOCAL-010705,0.0,0,75,2.36,63,1.98,54.22,5854,3174,Espinho,Aveiro,Norte
2019-12-03 11:13:36,Anta e Guetim,LOCAL-010706,0.0,0,155,2.39,109,1.68,59.86,10821,6477,Espinho,Aveiro,Norte
2019-12-03 11:13:36,Avanca,LOCAL-010801,0.0,0,85,2.99,53,1.86,53.72,5300,2847,Estarreja,Aveiro,Norte
2019-12-03 11:13:36,Pardilhó,LOCAL-010805,0.0,0,52,3.38,21,1.37,40.78,3769,1537,Estarreja,Aveiro,Norte
2019-12-03 11:13:36,Salreu,LOCAL-010806,0.0,0,60,3.38,31,1.75,52.14,3404,1775,Estarreja,Aveiro,Norte
2019-12-03 11:13:36,Beduído e Veiros,LOCAL-010808,0.0,0,129,2.91,81,1.83,48.79,9081,4431,Estarreja,Aveiro,Norte
2019-12-03 11:13:36,Canelas e Fermelã,LOCAL-010809,0.0,0,51,3.68,16,1.16,55.85,2480,1385,Estarreja,Aveiro,Norte
2019-12-03 11:13:36,Argoncilhe,LOCAL-010901,0.0,0,82,1.81,67,1.48,60.82,7442,4526,Santa Maria da Feira,Aveiro,Norte
2019-12-03 11:13:36,Arrifana,LOCAL-010902,0.0,0,72,2.34,63,2.05,54.03,5684,3071,Santa Maria da Feira,Aveiro,Norte
